id_aluno,nome,curso,periodo,disciplinas_cursadas,areas_interesse,area_principal,area_BD,area_Estatística,area_Gestão,area_Hardware,area_IA,area_IoT,area_Programação,area_Segurança,area_UX,nivel,nivel_norm,tipo_artigo,tipo_livro,tipo_vídeo
1,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud",Programação,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.5,0.5,0.5,0.5
2,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data",IA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5
3,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware",Hardware,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.5,0.5,0.5
4,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics",Gestão,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5
5,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA",Programação,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,0.5,0.5,0.5
6,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning",IA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.5,0.5
7,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded",Hardware,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.5,0.5,0.5
8,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics",Gestão,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5
9,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud",Programação,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.5,0.5,0.5,0.5
10,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data",IA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5
11,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware",Hardware,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.5,0.5,0.5
12,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics",Gestão,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5
13,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA",Programação,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,0.5,0.5,0.5
14,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning",IA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.5,0.5
15,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded",Hardware,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.5,0.5,0.5
16,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics",Gestão,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5
17,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud",Programação,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.5,0.5,0.5,0.5
18,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data",IA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5
19,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware",Hardware,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.5,0.5,0.5
20,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics",Gestão,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5
